1,Sonali,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
2,Shikha,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
3,Shaddha,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
4,Anushaka,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
5,Pooja,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
6,Nikita,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
7,Neha,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
8,Anjali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
9,Divya,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
10,Vaishanavi,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
11,Priya,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
12,Priyanka,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
13,Radha,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
14,Soniya,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
15,Maithili,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
16,Vedanti,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
17,Riya,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
18,Utkarsha,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
19,Akshata,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
20,Partiksha,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
21,Sanjana,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
22,Kranti,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
23,Mayuri,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
24,Pradhi,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
25,Abhishek,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
26,Ankur,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
27,Pratham,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
28,Kshitish,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
29,Dipankar,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
30,Rahul,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
31,Mohit,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
32,Ayush,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
33,Adwait,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
34,Sarthak,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
35,Abhishek,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
36,Ankur,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
37,Pratham,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
38,Kshitish,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
39,Dipankar,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
40,Rahul,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
41,Pradhi,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
42,Mayuri,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
43,Kranti,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
44,Sarthak,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
45,Abhishek,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
46,Ankur,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
47,Sonali,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
48,Shraddha,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
49,Shikha,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
